phase,model_type,grid_id,compiler,run_id,n_states,n_actions,t_prepare,t_ground,t_compile,gp_atoms,gp_nodes,circuit_nodes,circuit_edges,status,error_msg,gamma,epsilon,t_vi,n_iterations,t_per_iter,n_wmc_transition,t_wmc_transition,t_per_transition,n_wmc_reward,t_wmc_reward,t_per_reward,t_bellman_total
B,multivalued,2,ddnnf,3,8,5,0.06457566499011591,0.03979419199458789,0.01413413800764829,63,172,172,250,success,,0.9,0.0001,0.028452992002712563,4,0.007113248000678141,40,0.018968958014738746,0.00047422395036846867,40,0.006432544032577425,0.00016081360081443563,0.0030514899553963915
B,multivalued,2,ddnnf,1,8,5,0.07647627199185081,0.04871696299233008,0.013292919000377879,63,172,172,250,success,,0.99,0.1,0.027448260007076897,4,0.006862065001769224,40,0.018350129976170138,0.00045875324940425344,40,0.006184421974467114,0.00015461054936167785,0.0029137080564396456
B,multivalued,2,ddnnf,2,8,5,0.07931935499073006,0.05257386399898678,0.016151926000020467,63,172,172,250,success,,0.99,0.1,0.028681648007477634,4,0.007170412001869408,40,0.01897240504331421,0.0004743101260828553,40,0.006532578918267973,0.00016331447295669932,0.00317666404589545
B,multivalued,2,ddnnf,3,8,5,0.06541153100260999,0.041405239011510275,0.014033335988642648,63,172,172,250,success,,0.99,0.1,0.030145366996293887,4,0.007536341749073472,40,0.020051094936206937,0.0005012773734051734,40,0.006922129992744885,0.00017305324981862214,0.0031721420673420653
B,multivalued,2,ddnnf,1,8,5,0.06580827498692088,0.04164318900438957,0.01429268199717626,63,172,172,250,success,,0.99,0.0001,0.02774085200508125,4,0.006935213001270313,40,0.01839251299679745,0.00045981282491993627,40,0.00634097408328671,0.00015852435208216776,0.0030073649249970913
B,multivalued,2,ddnnf,2,8,5,0.06706878299883101,0.04149779998988379,0.01476764898688998,63,172,172,250,success,,0.99,0.0001,0.029627248994074762,4,0.0074068122485186905,40,0.019544277936802246,0.0004886069484200562,40,0.006867058007628657,0.0001716764501907164,0.0032159130496438593
B,multivalued,2,ddnnf,3,8,5,0.06710499999462627,0.041661704002763145,0.01417742199555505,63,172,172,250,success,,0.99,0.0001,0.028517066006315872,4,0.007129266501578968,40,0.0189626829669578,0.000474067074173945,40,0.006448237007134594,0.00016120592517836484,0.003106146032223478
B,multivalued,3,ddnnf,1,16,5,0.1393424489942845,0.0898946369998157,0.03352516000450123,119,332,332,490,success,,0.9,0.1,0.12585987101192586,4,0.031464967752981465,80,0.0948430050193565,0.0011855375627419563,80,0.02262605496798642,0.00028282568709983027,0.008390811024582945
B,multivalued,3,ddnnf,2,16,5,0.1259145149961114,0.07954447400697973,0.03389887200319208,119,332,332,490,success,,0.9,0.1,0.13565861400275026,4,0.033914653500687564,80,0.10388372899615206,0.0012985466124519006,80,0.02342414292797912,0.000292801786599739,0.008350742078619078
B,multivalued,3,ddnnf,3,16,5,0.13025039200147148,0.08188156899996102,0.036096063995501027,119,332,332,490,success,,0.9,0.1,0.12840828399930615,4,0.03210207099982654,80,0.0972435690346174,0.0012155446129327174,80,0.022849412940558977,0.0002856176617569872,0.008315302024129778
B,multivalued,3,ddnnf,1,16,5,0.1278137350018369,0.08123139200324658,0.03365845400549006,119,332,332,490,success,,0.9,0.0001,0.12875065999105573,4,0.03218766499776393,80,0.09671477996744215,0.001208934749593027,80,0.02313330899050925,0.0002891663623813656,0.008902571033104323
B,multivalued,3,ddnnf,2,16,5,0.1322927049914142,0.08227347199863289,0.0354761310009053,119,332,332,490,success,,0.9,0.0001,0.12858937900455203,4,0.03214734475113801,80,0.09716393399867229,0.0012145491749834037,80,0.022706398885929957,0.00028382998607412446,0.00871904611994978
B,multivalued,3,ddnnf,3,16,5,0.12898111098911613,0.08264768199296668,0.034769231991958804,119,332,332,490,success,,0.9,0.0001,0.1289321420044871,4,0.032233035501121776,80,0.09703302805428393,0.001212912850678549,80,0.02319039097346831,0.0002898798871683539,0.008708722976734862
B,multivalued,3,ddnnf,1,16,5,0.13268376501218881,0.08165664398984518,0.03620810998836532,119,332,332,490,success,,0.99,0.1,0.12906667600327637,4,0.03226666900081909,80,0.0976336640160298,0.0012204208002003724,80,0.02286415404523723,0.00028580192556546533,0.008568857942009345
B,multivalued,3,ddnnf,2,16,5,0.1301725359953707,0.08098848800000269,0.03436957400117535,119,332,332,490,success,,0.99,0.1,0.12800674501340836,4,0.03200168625335209,80,0.0964662509795744,0.00120582813724468,80,0.02262281600269489,0.00028278520003368615,0.008917678031139076
B,multivalued,3,ddnnf,3,16,5,0.1349148439912824,0.08414467998954933,0.0354881390085211,119,332,332,490,success,,0.99,0.1,0.1418201019987464,4,0.0354550254996866,80,0.10758390594855882,0.0013447988243569854,80,0.025446018989896402,0.000318075237373705,0.008790177060291171
B,multivalued,3,ddnnf,1,16,5,0.12930951100133825,0.08184576699568424,0.03389875699940603,119,332,332,490,success,,0.99,0.0001,0.13129991199821234,4,0.032824977999553084,80,0.09879726196231786,0.0012349657745289733,80,0.02392994990805164,0.0002991243738506455,0.008572700127842836
B,multivalued,3,ddnnf,2,16,5,0.13386661000549793,0.0879907380003715,0.03437532499083318,119,332,332,490,success,,0.99,0.0001,0.12592876701091882,4,0.031482191752729705,80,0.09533496692893095,0.001191687086611637,80,0.02242996597487945,0.00028037457468599314,0.008163834107108414
B,multivalued,3,ddnnf,3,16,5,0.13109422399429604,0.08364752499619499,0.03552167600719258,119,332,332,490,success,,0.99,0.0001,0.14182611400610767,4,0.03545652850152692,80,0.10674336699594278,0.0013342920874492847,80,0.02610383101273328,0.00032629788765916603,0.008978915997431614
B,multivalued,4,ddnnf,1,32,5,0.3310704059986165,0.19111475700628944,0.12021336100588087,231,652,652,970,success,,0.9,0.1,0.5713422239932697,8,0.07141777799915872,160,0.44106129997817334,0.0027566331248635835,160,0.0854205098876264,0.000533878186797665,0.044860414127469994
